FirstName,LastName,Company,Email
John,Doe,Biz Ltd,john@example.com
Sara,12,Khan Ltd,sara@gmail.com
Ali,Khan,TechSoft,ali-at-tech.com
John,Doe,ABC Ltd,john@example.com
Sara,123,HealthCo,sara@example.com
Ali,Khan,TechSoft,ali-at-tech.com
Bilal,Chaudhry,SkyNetics,bilal.chaudhry0@example.com
B,Chaudhry,SkyNetics,b.chaudhry0@.com
Zainab,Hussain,InnoSoft,zainab.hussain1@example.com
Saad,Butt,InnoSoft,saad.butt2@example.com
Rabia,Nawaz,BlueOrbit,rabia.nawaz3@example.com
Rabia,Farooq,CoreAnalytics,rabia.farooq4@example.com
